"","something","rotten","state","denmark","distanceMetric"
"1",0.00014265335235378,0.00014265335235378,0.000998573466476462,0,0.504977503655005
"2",0.000552638850511191,0,0.000552638850511191,0,0.505320258556704
"3",0.000419551080344032,0,0.000419551080344032,0,0.505730640413248
"4",0.000308832612723904,0,0.000308832612723904,0,0.506668962232552
"5",0.000702082845775802,0.000234027615258601,0,0,0.50650168354149
"6",0,0,0,0,0.506810348362358
"7",0.000282725473565168,0,0.00141362736782584,0,0.505245708298223
"8",0.000284916519459798,5.69833038919597e-05,0.000113966607783919,0,0.505273931849421
"9",0.000881834215167548,0,0,0,0.507515318708768
"10",0.000731261425959781,0,0.00036563071297989,0,0.506858172202449
"11",0.00060842054027744,0.000243368216110976,0.000121684108055488,0,0.506250714664533
"12",0.000379075056861259,0,0,0,0.508122364557574
"13",0,0,0,0,0.509063067216942
"14",0,0,0,0,0.507603539417689
"15",0.00090293453724605,0,0.00090293453724605,0,0.506653145577039
"16",0.000859106529209622,0,0,0,0.507416055253281
"17",0,0,0.000316555872111428,0,0.508070670849684
"18",0,0,0,0,0.507553329772769
"19",0,0.000183116645303058,0.000549349935909174,0,0.50599026720434
"20",0.000332115576220525,0.000332115576220525,0.000996346728661574,0,0.505910297513453
"21",0.000453206435531385,0,0.000906412871062769,0,0.505601101479734
"22",0,0.000231535077564251,0.00162074554294976,0,0.505687517431613
"23",0.00123558484349259,0,0,0,0.505388941177504
"24",0.000318471337579618,0,0.000318471337579618,0,0.505917356188689
"25",0,0,0.000228859137201053,0,0.505033630585453
"26",0.000173250173250173,0,0.000173250173250173,0,0.50531412071289
"27",0.000730860588342774,0.000182715147085693,0.00146172117668555,0.00237529691211401,0.504303413305477
"28",0.000874508089199825,0,0.000437254044599913,0.000655881066899869,0.506083637817581
"29",0.000669680227691277,0,0.000669680227691277,0.000167420056922819,0.506307614845526
"30",0.00102249488752556,0,0,0,0.509034063532829
"31",0,0,0,0,0.510001430972661
"32",0,0,0,0.000736377025036819,0.50681787356612
"33",0,0,0,0,0.512724964207075
"34",0,0,0,0,0.508024363214871
"35",0.00021767522855899,0.00021767522855899,0.00021767522855899,0.00043535045711798,0.506181173336804
"36",0,0.000251256281407035,0,0,0.507225138849876
"37",0,0,0.000345901072293324,0,0.50614774437279
"38",0,0,0.00120394895256441,0,0.506115324069541
"39",0,0,0.00081799591002045,0,0.507241936694901
"40",0,0,0.000286697247706422,0,0.506910732486458
"41",0.000254647313470843,0,0.000254647313470843,0,0.507411098808688
"42",0,0,0,0,0.506563320980262
"43",0,0,0.000701754385964912,0,0.507900887760833
"44",0.000349040139616056,0.000349040139616056,0.000523560209424084,0,0.506660107093336
"45",0.000276854928017719,0.000276854928017719,0.00110741971207087,0,0.506419807473533
"46",0,0,0.00075046904315197,0,0.508160407042339
"47",0,0,0.00027027027027027,0,0.507568862790852
"48",0,0,0,0,0.514143967555529
"49",0,0.000225123818099955,0,0,0.507787220101107
"50",0.00014883167137967,0,0,0,0.507285099573375
"51",0.000280583613916947,0,0.000280583613916947,0,0.506833273273176
"52",0.000240558094779889,0,0.000240558094779889,0,0.505676131947445
"53",0,0,0,0,0.50642660454832
"54",0,0,0.000608272506082725,0,0.506310958560357
"55",0,0,0.000265533722782793,0,0.506239885797494
